,solution_id,contest_id,submission_time,realtive_time,problem_index,problem_name,problem_type,points,tags,team,participant_type,language,verdict,test_case,time,memory
0,44680530,856,1540188181,3241,A,Set Theory,PROGRAMMING,0,"['brute force', 'constructive algorithms']",1,VIRTUAL,GNU C++14,OK,11,717,8000.0
1,44680393,856,1540187830,2890,A,Set Theory,PROGRAMMING,0,"['brute force', 'constructive algorithms']",1,VIRTUAL,GNU C++14,WRONG_ANSWER,1,139,7900.0
2,44680227,856,1540187276,2336,A,Set Theory,PROGRAMMING,0,"['brute force', 'constructive algorithms']",1,VIRTUAL,GNU C++14,WRONG_ANSWER,1,124,300.0
3,44680188,856,1540187142,2202,A,Set Theory,PROGRAMMING,0,"['brute force', 'constructive algorithms']",1,VIRTUAL,GNU C++14,OK,11,779,2000.0
4,44680177,856,1540187114,2174,A,Set Theory,PROGRAMMING,0,"['brute force', 'constructive algorithms']",1,VIRTUAL,GNU C++14,WRONG_ANSWER,0,15,1700.0
5,44680150,856,1540187031,2091,A,Set Theory,PROGRAMMING,0,"['brute force', 'constructive algorithms']",1,VIRTUAL,GNU C++14,OK,11,764,2000.0
6,44680107,856,1540186882,1942,A,Set Theory,PROGRAMMING,0,"['brute force', 'constructive algorithms']",1,VIRTUAL,GNU C++14,OK,11,514,2100.0
7,44680065,856,1540186759,1819,A,Set Theory,PROGRAMMING,0,"['brute force', 'constructive algorithms']",1,VIRTUAL,GNU C++14,WRONG_ANSWER,1,124,100.0
8,44680055,856,1540186718,1778,A,Set Theory,PROGRAMMING,0,"['brute force', 'constructive algorithms']",1,VIRTUAL,GNU C++14,TIME_LIMIT_EXCEEDED,6,1000,4400.0
9,44679986,856,1540186505,1565,A,Set Theory,PROGRAMMING,0,"['brute force', 'constructive algorithms']",1,VIRTUAL,GNU C++14,TIME_LIMIT_EXCEEDED,6,1000,4400.0
10,44679879,856,1540186209,1269,A,Set Theory,PROGRAMMING,0,"['brute force', 'constructive algorithms']",1,VIRTUAL,GNU C++14,TIME_LIMIT_EXCEEDED,6,1000,2600.0
